Hãng Sản Xuất,Độ Dày,Trọng Lượng,khoi_luong,CPU,RAM,Bộ Nhớ,HDD,SSD,GPU,Dung Lượng Pin,Hệ Điều Hành,Mạng WiFi,Bluetooth,Âm Thanh,Bảo Mật,Đọc Thẻ,Mạng LAN,Bàn Phím,Màu Sắc,Chất Liệu,Cổng Giao Tiếp,Khe Cắm,Màn Hình,Phụ Kiện Đi Kèm,Khả Năng Nâng Cấp,Ổ Đĩa Quang,Đèn Led,Nguồn,Tính Năng Khác,Tên Sản Phẩm,Giá Bán,Loại Sản Phẩm,Mẫu Mã,Số Cổng Lưu Trữ Tối Đa,Kết Nối,Webcam,Camera,Kết Nối Không Dây,Giao Tiếp Mạng,NPU,Cổng IO,Cổng Xuất Hình,Loa,Năm Sản Xuất,Thiết Kế Chất Liệu Vỏ,Hệ Điều Hành Bản Quyền Đi Kèm,Phần Mềm Có Sẵn,Card Mở Rộng,Unnamed 161,Mãy Tính Xách Tay
Acer,36.23 x 23.74 x 1.99 mm,1.3 kg,,"Intel Core i3-1315U ( 1.2 GHz - 4.5 GHz / 10MB / 12 nhân, 16 luồng )",8GB Onboard LPDDR5 6400MHz ( 1 Khe cắm / Không nâng cấp được ),512GB SSD M.2 NVMe,,,Intel UHD Graphics,"3 cell 50 Wh , Pin liền",Windows 11 Home,,,,không có,,,,gray,,"1 x HDMI 
2 x USB 3.2 
1 x Headphone/speaker jack",M.2 NVMe,"14 inch WUXGA (1920 x 1200), IPS SlimBezel, 60Hz, Acer ComfyView™",,,,,,,Laptop Acer Aspire 5 A514-56P-35X7,10490000.0,Máy tính xách tay,Acer Aspire 5 A514-56P-35X7 (NX.KHRSV.001),1 x M.2 NVMe,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.1",Có,,,,,,,,,,,,,,
Acer,400.2 x 293.25 x 27.9~28.9 (mm),3.0 kg,,Intel Core i5-13500H 2.6GHz up to 4.7GHz 18MB,,512GB PCIe NVMe SED SSD cắm sẵn (2 khe SSD - nâng cấp tối đa 2TB),,,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,4 Cell 90WHr,Windows 11 Home,,,,,,,,,,"1x USB Type-C™ port (supporting USB 3.2 Gen 2x2 (up to 20 Gbps); DisplayPort over USB-C; Thunderbolt 4 ; USB charging 5V - 3A; DC-in port 20V - 65W)
1x USB Type-C™ port (supporting USB 3.2 Gen 2 (up to 10 Gbps); DisplayPort over USB-C; USB charging 5V - 3A; DC-in port 20V - 65W)
1x USB 3.2  Gen 1
1x USB 3.2 Gen 2
1x USB 3.2 Gen 2 featuring power off USB charging
1x HDMI® 2.1 port with HDCP support
1x Ethernet (RJ-45) port
1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
1x DC-in jack for AC adapter""",,17.3 inch FHD (1920x1080) IPS 165Hz 100% sRGB 300 nits SlimBezel,,,Không có,,,,Laptop Acer Nitro 17 Phoenix AN17-51-50B9,28490000.0,Máy tính xách tay,Nitro 17 Phoenix AN17-51-50B9 (NH.QK5SV.001),,"WiFi 802.11ax (Wi-Fi 6) , Bluetooth v5.2",720p HD video at 30 fps with Temporal Noise Reduction,,,,,,,,,,,,,,
HP,,,,"Intel Core Ultra 5 125U (up to 4.3 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 12 cores, 14 threads)",16 GB LPDDR5-6400 MT/s (onboard),512 GB PCIe® NVMe™ SSD,,,Intel® Graphics,"3-cell, 59 Wh",Windows 11 Home,Intel® Wi-Fi 6E AX211 (2x2),Bluetooth® 5.3,,,,,,Bạc,,,,"16 inch (1920 x 1200), IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",,,,,,,Laptop HP Pavilion 16-af0055TU AY8C4PA Bạc,,,16-af0055TU AY8C4PA,,,,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,,,,,,2 Loa,,,,,,,
Asus,,,,"Intel Core i7-13620H (24MB Cache, up to 4.90GHz)",16GB (8GB DDR4 Onboard + 8GB DDR4 Sodimm),512GB SSD M.2 NVMe PCIe 4.0,,,Intel Iris XeGraphics,3 Cell - 42WHrs,Windows 11 Home,,Bluetooth 5.3,,Không bảo mật vân tay,,,,Bạc,Nhựa,"1 x USB 2.0 Type-A (data speed up to 480Mbps), 1 x USB 3.2 Gen 1 Type-C with support for power delivery (data speed up to 5Gbps), 2 x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps), 1 x HDMI 1.4, 1 x 3.5mm Combo Audio Jack",,"15.6 inch FHD (1920 x 1080), LED Backlit, IPS-level Panel, Anti-glare display",,,,,,,Laptop Asus Vivobook 15 X1502VA-BQ886W Bạc,16890000.0,,X1502VA-BQ886W,,,"720p HD, With privacy shutter",,,,,,,,,,,,,,
Dell,,,,"Intel Core 5-120U (1.40Ghz up to 5.00GHz, 12MB Cache)",,512 GB SSD NVMe PCIe,,,NVIDIA GeForce MX570A 2GB GDDR6,4Cell 54WHrs,Windows 11 Home + Office Home and Student 2021,"Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax",Bluetooth,,,,,,Xanh,,"2 x USB 3.2 Gen 1 (5 Gbps) ports
1 x USB 3.2 Gen 2 (10 Gbps) Type-C® with Power Delivery and DisplayPort™
1 x headset (headphone and microphone combo) port
1 x HDMI 1.4 port
1 x power-adapter port",,14.0 Inch 2.2K(2240x1400) WVA 300nits 16:10,,,,,,,Laptop Dell Inspiron 14 N5440-C5U165W11IBD2 Xanh,24590000.0,,N5440-C5U165W11IBD2,,,,Full HD Webcam,,,,,,,,,,,,,
HP,363 x 249 x 19.9 mm,1.74 kg,,"Intel Core i5-1235U up to 4.4Ghz, 12MB",,512GB SSD M.2 NVMe,,,Intel Iris Xe Graphics,3 cell,Windows 11 Home,,,,,,,,,,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate, 1 x HDMI 1.4b, 1 x stereo headphone/microphone combo jack, 1 x RJ-45",,"15.6 inch FHD (1920 x 1080), IPS, Narrow bezel, Anti-glare, 250 nits, 45% NTSC",,,no,,,,Laptop HP 250 G9 A06E6PT Bạc,,Máy tính xách tay,A06E6PT,,"Wi-Fi 6 802.11ax , Bluetooth 5.2",Có,,,,,,,,,,,,,,
HP,35.8 x 24.2 x 1.99 cm,1.74 kg,,"Intel Core i5-1235U (up to 4.4Ghz, 12MB, 10 nhân, 12 luồng )",,8 GB DDR4-3200 MHz RAM (2 x 4 GB) 2 SODIMM,,,Intel Iris Xe Graphics,3 Cell 41WHr,Windows 11 Home,,,Tiêu chuẩn,,,,,Bạc,,1 tốc độ tín hiệu USB Type-C® 5Gbps; 2 USB Type-A tốc độ tín hiệu 5Gbps; 1 nguồn AC; 1 HDMI 1.4b; 1 giắc cắm kết hợp tai nghe/micrô stereo; 1 RJ-45,,"15,6 inch, FHD (1920 x 1080), IPS, viền hẹp, chống chói, 250 nits, 45% NTSC",,,512GB SSD PCIe NVMe,,,,Laptop HP 250 G9 9Q927AT Bạc,15790000.0,Máy tính xách tay,15s-fq5078TU 6K798PA,,"Wifi 802.11ac ,  Bluetooth® 5.2",720p HD camera,,,,,,,,,,,,,,
HP,359.8 mm x 236 mm x 18.6 mm,1.52 kg,,"Intel Core i3-1315U up to 4.5Ghz, 10MB",,"8GB DDR4 3200Mhz (1 x 8GB), 2 khe cắm Ram",,,Vga Intel UHD Graphics,"3-cell, 41 Wh Li-ion",Windows 11 Home,,,2 Loa,Không bảo mật vân tay,,,,,,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate, 1 x AC power, 1 x HDMI 1.4b, 1 x stereo headphone/microphone combo jack",,"15.6 inch FHD (1920 x 1080), IPS, Anti-glare, 250 nits, 45% NTSC",,,256GB SSD PCIe NVMe,,,,"Laptop HP 250 G10 A06E9PT Bạc ( Cpu I3-1315U, Ram 8gb, SSD 256gb, Vga Intel UHD Graphics, 15.6 Inch FHD, Win 11H",11890000.0,Máy tính xách tay,A06E9PT,,Wi-Fi 6 (802.11ax)/Bluetooth 5.3,Có,,,,,,,,,,,,,,
HP,,,,"Intel Core Ultra 7 165U, P-core 1.7GHz up to 4.9GHz, E-core 1.2GHz up to 3.8GHz, 12MB","16GB DDR5 5600Mhz (1x16GB), 2 khe cắm ram",512GB SSD PCIe NVMe,,,Intel Graphics,3 Cell - 56Wh,Windows 11 Home Single Language,,5.3,,,,,,,,"2 x Thunderbolt 4 with USB Type-C 40Gbps signaling rate (USB Power Delivery, DisplayPort 1.4); 2 x USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1 x HDMI 2.1; 1 x stereo headphone/microphone combo jack; 1 x RJ-45",,"14 inch diagonal, WUXGA (1920 x 1200), IPS, narrow bezel, anti-glare, 300 nits, 45% NTSC",,,,,,,Laptop HP Elitebook 640 G11 A7LB4PT Bạc,,,A7LB4PT,,,5MP IR,,,,,,,,,,,,,,
HP,,,,"Intel Core i7-1355U (up to 5.0GHz, 12MB)",16GB (1 x 16GB) DDR4-3200MHz (2 khe),512GB PCIe® NVMe™ M.2 SSD,,,Intel Iris Xe Graphics có điều kiện khi sử dụng Dual RAM,3 cell,Windows 11 Home,,,,,,,,Bạc,,"1 x Thunderbolt™ 4 with USB4™ Type-C® 40 Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4)
1 x SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Deliver
2 x SuperSpeed USB Type-A 5Gbps signaling rate port (USB 3.2 Gen 1)
1 x HDMI 2.1 Port (Cable not included)
1 x Ethernet Port (RJ-45)
1 x Audio Combo Jack
1 x Power Connector
1 x Nano Security Lock Slot (Lock sold separately)",,"14 inch FHD (1920 x 1080), touch, IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",,,,,,,Laptop HP EliteBook 640 G10 873H3PA Bạc,15990000.0,,873H3PA,,,,720p HD camera,,,,,,,,,,,,,
Dell,,,,"Intel Core i5-1335U (12 MB cache, 10 cores, up to 4.60 GHz Turbo)","8GB DDR5 5600 MT/s, KYHD",512GB SSD M.2 2230 QLC PCIe Gen 4 NVMe,,,Intel UHD Graphics,3 cells - 42Wh,Win 11H,,Bluetooth,,Không bảo mật vân tay,,,,Đen,,"1 x USB4 (20 Gbps) with Power Delivery and DisplayPort, 2 x USB 3.2 Gen 1 (5 Gbps), 1 x USB 3.2 Gen 1 (5 Gbps) withPowerShare, 1 x HDMI 1.4, 1 x HDMI 2.0, 1 x RJ45,1 x universal audio, 1 x power-adapter",,"15.6 inch FHD (1920x1080) Non-Touch, AG, IPS, 250 nits",,,,,,,Laptop Dell Latitude 3550 42LT355001 Đen,,,42LT355001,,,FHD,,,,,,,,,,,,,,
