Hãng Sản Xuất,Độ Dày,Trọng Lượng,RAM,Bộ Nhớ,Dung Lượng Pin,Hệ Điều Hành,Giá Bán,Hãng CPU,Số Lõi,Xung nhịp tối đa,Cache,Loại Màn Hình,Độ Phân Giải,Số Cổng Giao Tiếp,Hãng GPU,Phân Loại
acer,19.9,1.3,8.0,512.0,61.154671717171716,win 11,10490000.0,i3,12.0,4.5,10.0,ips,1920x1200,2,intel,Di động / Mỏng nhẹ / Ultrabook
acer,28.4,3.0,16.0,2048.0,61.154671717171716,win 11,28490000.0,i5,8.0,4.7,18.0,ips,1920x1080,7,nvidia,Kỹ thuật / Lập trình
hp,20.0,2.2,16.0,512.0,61.154671717171716,win 11,21520000.0,ultra 5,3.0,4.3,12.0,ips,1920x1200,0,intel,Văn phòng / Học tập
asus,19.9,1.8,32.0,512.0,61.154671717171716,win 11,16890000.0,i7,14.0,4.9,24.0,led/ips,1920x1080,3,intel,Kỹ thuật / Lập trình
dell,22.0,2.1,16.0,512.0,61.154671717171716,win 11,24590000.0,core 5,4.0,5.0,12.0,wva,2240x1400,4,nvidia,Văn phòng / Học tập
hp,19.9,1.74,8.0,512.0,61.154671717171716,win 11,21520000.0,i5,8.0,4.4,12.0,ips,1920x1080,4,intel,Kỹ thuật / Lập trình
hp,19.9,1.74,8.0,12.0,61.154671717171716,win 11,15790000.0,i5,10.0,4.4,12.0,ips,1920x1080,3,intel,Kỹ thuật / Lập trình
hp,18.6,1.52,8.0,16.0,61.154671717171716,win 11,11890000.0,i3,6.0,4.5,10.0,ips,1920x1080,3,intel,Văn phòng / Học tập
hp,20.0,2.0,16.0,512.0,61.154671717171716,win 11,21520000.0,core 1,12.0,4.9,12.0,ips,1920x1200,5,intel,Kỹ thuật / Lập trình
hp,20.0,2.0,16.0,512.0,61.154671717171716,win 11,15990000.0,i7,14.0,5.0,12.0,ips,1920x1080,8,intel,Kỹ thuật / Lập trình
dell,21.9,2.0,8.0,512.0,61.154671717171716,win 11,21520000.0,i5,10.0,4.6,12.0,ips,1920x1080,5,intel,Kỹ thuật / Lập trình
lenovo,17.4,1.4,72.0,512.0,60.0,win 11,19590000.0,i7,10.0,4.9,12.0,ips,1920x1200,6,intel,Di động / Mỏng nhẹ / Ultrabook
