Product Name,Price,Sản phẩm,Tên Hãng,Model,Bộ vi xử lý,Card đồ họa,Bộ nhớ ram,Ổ cứng,Số cổng lưu trữ tối đa,Kiểu khe M.2 hỗ trợ,Màn hình,Kết nối,Cổng giao tiếp,Webcam,Bảo mật,Hệ điều hành,Pin,Kích thước,Trọng lượng,Màu sắc/ Chất liệu,Bộ VXL,Bộ nhớ,Ổ đĩa quang,Màu sắc/ Chất liệu,Thương hiệu,Sản phẩm,CPU,RAM,VGA,Camera,Wi-Fi,Bluetooth,LOA,Màu sắc,Cổng kết nối,Wifi,Chất liệu,Kích thước,Trọng lượng,Ram,Trọng Lượng,Bộ nhớ RAM,Nhận dạng vân tay,Ổ cứng/ Ổ đĩa quang,Âm thanh,Audio,Màu sắc,Đèn LED trên máy,Hãng sản xuất,Bộ vi xử lý,Bộ nhớ Ram,Ổ đĩa cứng,Đồ họa,WiFi,bluetooth,Pin (Battery),Khối lượng,Kết nối mạng LAN,SSD,Kết nối không dây,Khe đọc thẻ nhớ,Bảo mật vân tay,Card đồ hoạ,Đọc thẻ,Ổ đĩa quang (DVD),Giao tiếp mạng,Giao tiếp mạng - Communications,Cổng giao tiếp - Port,pin,NPU,Bộ xử lý,Cổng I/O,Nguồn,OS,Lưu trữ,Wireless,LAN,Đọc thẻ - Card reader,Cổng xuất hình,Hỗ trợ nâng cấp,Khả năng nâng cấp trong tương lai,Vga,Mô tả khác,Bộ VXL,Card màn hình,Kích thước màn hình,bàn phím,Thiết kế/ Chất liệu vỏ,card đồ họa,Khả năng nâng cấp ram,PIN,Mạng,Loại card đồ họa,Vân tay,Ổ đĩa cứng - SSD,Kết nối USB,Năm sản xuất,Chất liệu sản phẩm,Ổ cứng,Đọc thẻ nhớ,WIFI,Dung lượng RAM,Công nghệ âm thanh,Bộ xử lý - CPU,Bộ nhớ trong - Ram,Đèn bàn phím,wifi,Màn hình - Monitor,Card đồ hoạ - Video,Công nghệ CPU,Finger Print,Bộ nhớ trong,Chip đồ họa,Màn hình hiển thị,Ổ đĩa cứng - HDD,Tính năng đặc biệt,Loại đèn bàn phím,Dung lượng,Ổ đĩa quang (ODD),Kiểu Pin,Hệ điều hành (bản quyền) đi kèm,Kích thước (Dài x Rộng x Cao),Màn hìn,Pin(Battery),Phụ kiện kèm theo,Màu,webcam,Bàn phím,Chuẩn WIFI,Loa,Phụ kiện,Cạc đồ họa,Loại khe M.2,Keyboard + Mouse,Khe cắm mở rộng,Hệ điều hành tương thích,Công suất bộ sạc,Thông số (Lan/Wireless),"Wi-Fi, bluetooth",Màu sắc (Colour),Bàn phím,Hãng sãn xuất,Chuẩn Lan,Bàn Phím,Bộ nguồn,Phần mềm có sẵn,Thời lượng pin,Card mở rộng,Card VGA,"Wi-Fi,",Giao tiếp,Thẻ đọc,Kiểu bàn phím,Lan,Kết nối có dây (LAN),Chuẩn LAN,Card reader,Kết nối không dây,Ổ quang,Bảo mật Vân tay,,Keyboard,Khe mở rộng,Nhận dạng Vân tay,Chuẩn Wifi,Kiểu khe M.2 hỗ tr,bảo mật,Máy tính xách tay,Tính năng khác,Phụ kiện kèm,"Wifi, bluetooth",Bluetooth®,Kiểu khe M.2 hỗ trợ`,Chuẩn Wi-Fi,Other Supports
Laptop Acer Aspire 5 A514-56P-35X7,10.490.000đ,Máy tính xách tay,Acer,Acer Aspire 5 A514-56P-35X7 (NX.KHRSV.001),"Intel Core i3-1315U ( 1.2 GHz - 4.5 GHz / 10MB / 12 nhân, 16 luồng )",Intel UHD Graphics,8GB Onboard LPDDR5 6400MHz ( 1 Khe cắm / Không nâng cấp được ),512GB SSD M.2 NVMe,1 x M.2 NVMe,M.2 NVMe,"14 inch WUXGA (1920 x 1200), IPS SlimBezel, 60Hz, Acer ComfyView™","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","1 x HDMI 
2 x USB 3.2 
1 x Headphone/speaker jack",Có,không có,Windows 11 Home,"3 cell 50 Wh , Pin liền",36.23 x 23.74 x 1.99 mm,1.3 kg,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Nitro 17 Phoenix AN17-51-50B9,28.490.000đ,Máy tính xách tay,Acer,Nitro 17 Phoenix AN17-51-50B9 (NH.QK5SV.001),,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,,512GB PCIe NVMe SED SSD cắm sẵn (2 khe SSD - nâng cấp tối đa 2TB),,,17.3 inch FHD (1920x1080) IPS 165Hz 100% sRGB 300 nits SlimBezel,"WiFi 802.11ax (Wi-Fi 6) , Bluetooth v5.2","1x USB Type-C™ port (supporting USB 3.2 Gen 2x2 (up to 20 Gbps); DisplayPort over USB-C; Thunderbolt 4 ; USB charging 5V - 3A; DC-in port 20V - 65W)
1x USB Type-C™ port (supporting USB 3.2 Gen 2 (up to 10 Gbps); DisplayPort over USB-C; USB charging 5V - 3A; DC-in port 20V - 65W)
1x USB 3.2  Gen 1
1x USB 3.2 Gen 2
1x USB 3.2 Gen 2 featuring power off USB charging
1x HDMI® 2.1 port with HDCP support
1x Ethernet (RJ-45) port
1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
1x DC-in jack for AC adapter""",720p HD video at 30 fps with Temporal Noise Reduction,,Windows 11 Home,4 Cell 90WHr,400.2 x 293.25 x 27.9~28.9 (mm),3.0 kg,,Intel Core i5-13500H 2.6GHz up to 4.7GHz 18MB,8GB DDR5 4800Mhz (2 khe rời - nâng cấp tối đa 32GB),Không có,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP Pavilion 16-af0055TU AY8C4PA Bạc,Liên hệ,,,16-af0055TU AY8C4PA,,,,512 GB PCIe® NVMe™ SSD,,,"16 inch (1920 x 1200), IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",,,,,Windows 11 Home,"3-cell, 59 Wh",,,,,,,,HP,Máy tính xách tay,"Intel Core Ultra 5 125U (up to 4.3 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 12 cores, 14 threads)",16 GB LPDDR5-6400 MT/s (onboard),Intel® Graphics,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,Intel® Wi-Fi 6E AX211 (2x2),Bluetooth® 5.3,2 Loa,Bạc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook 15 X1502VA-BQ886W Bạc,16.890.000đ,,,X1502VA-BQ886W,,,,512GB SSD M.2 NVMe PCIe 4.0,,,"15.6 inch FHD (1920 x 1080), LED Backlit, IPS-level Panel, Anti-glare display",,,"720p HD, With privacy shutter",Không bảo mật vân tay,Windows 11 Home,3 Cell - 42WHrs,,,,,,,,Asus,Laptop,"Intel Core i7-13620H (24MB Cache, up to 4.90GHz)",16GB (8GB DDR4 Onboard + 8GB DDR4 Sodimm),Intel Iris XeGraphics,,,Bluetooth 5.3,,Bạc,"1 x USB 2.0 Type-A (data speed up to 480Mbps), 1 x USB 3.2 Gen 1 Type-C with support for power delivery (data speed up to 5Gbps), 2 x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps), 1 x HDMI 1.4, 1 x 3.5mm Combo Audio Jack",Wi-Fi 6E(802.11ax) (Dual band) 1*1,Nhựa,35.97cm x 23.25cm x 1.99 ~ 1.99cm (W x H x D),1.70 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Dell Inspiron 14 N5440-C5U165W11IBD2 Xanh,24.590.000đ,,,N5440-C5U165W11IBD2,,,,512 GB SSD NVMe PCIe,,,14.0 Inch 2.2K(2240x1400) WVA 300nits 16:10,,,,,Windows 11 Home + Office Home and Student 2021,4Cell 54WHrs,,,,,,,,Dell,Máy tính xách tay,"Intel Core 5-120U (1.40Ghz up to 5.00GHz, 12MB Cache)",,NVIDIA GeForce MX570A 2GB GDDR6,Full HD Webcam,"Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax",Bluetooth,,Xanh,"2 x USB 3.2 Gen 1 (5 Gbps) ports
1 x USB 3.2 Gen 2 (10 Gbps) Type-C® with Power Delivery and DisplayPort™
1 x headset (headphone and microphone combo) port
1 x HDMI 1.4 port
1 x power-adapter port",,,314 mm x 226.15 mm x 18.07 mm,,16 GB DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB)5200 MHz,1.56 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP 250 G9 A06E6PT Bạc,Liên hệ,Máy tính xách tay,HP,A06E6PT,,Intel Iris Xe Graphics,,512GB SSD M.2 NVMe,,,"15.6 inch FHD (1920 x 1080), IPS, Narrow bezel, Anti-glare, 250 nits, 45% NTSC","Wi-Fi 6 802.11ax , Bluetooth 5.2","1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate, 1 x HDMI 1.4b, 1 x stereo headphone/microphone combo jack, 1 x RJ-45",Có,,Windows 11 Home,3 cell,363 x 249 x 19.9 mm,1.74 kg,,"Intel Core i5-1235U up to 4.4Ghz, 12MB",,no,Bạc,,,,,,,,,,,,,,,,,,"16GB DDR4 3200MT/s (1 x 16GB), 2 khe ram",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP 250 G9 9Q927AT Bạc,15.790.000đ,Máy tính xách tay,HP,15s-fq5078TU 6K798PA,,Intel Iris Xe Graphics,,,,,"15,6 inch, FHD (1920 x 1080), IPS, viền hẹp, chống chói, 250 nits, 45% NTSC","Wifi 802.11ac ,  Bluetooth® 5.2",1 tốc độ tín hiệu USB Type-C® 5Gbps; 2 USB Type-A tốc độ tín hiệu 5Gbps; 1 nguồn AC; 1 HDMI 1.4b; 1 giắc cắm kết hợp tai nghe/micrô stereo; 1 RJ-45,720p HD camera,,Windows 11 Home,3 Cell 41WHr,35.8 x 24.2 x 1.99 cm,1.74 kg,Bạc,"Intel Core i5-1235U (up to 4.4Ghz, 12MB, 10 nhân, 12 luồng )",8 GB DDR4-3200 MHz RAM (2 x 4 GB) 2 SODIMM,,,,,,,,,,,,,,,,,,,,,,512GB SSD PCIe NVMe,Tiêu chuẩn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 250 G10 A06E9PT Bạc ( Cpu I3-1315U, Ram 8gb, SSD 256gb, Vga Intel UHD Graphics, 15.6 Inch FHD, Win 11H",11.890.000đ,Máy tính xách tay,HP,A06E9PT,,Vga Intel UHD Graphics,,,,,"15.6 inch FHD (1920 x 1080), IPS, Anti-glare, 250 nits, 45% NTSC",Wi-Fi 6 (802.11ax)/Bluetooth 5.3,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate, 1 x AC power, 1 x HDMI 1.4b, 1 x stereo headphone/microphone combo jack",Có,Không bảo mật vân tay,Windows 11 Home,"3-cell, 41 Wh Li-ion",359.8 mm x 236 mm x 18.6 mm,1.52 kg,,"Intel Core i3-1315U up to 4.5Ghz, 10MB","8GB DDR4 3200Mhz (1 x 8GB), 2 khe cắm Ram",,,,,,,,,,,,,,,,,,,,,,256GB SSD PCIe NVMe,,2 Loa,Bạc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP Elitebook 640 G11 A7LB4PT Bạc,Liên hệ,,,A7LB4PT,,,,512GB SSD PCIe NVMe,,,"14 inch diagonal, WUXGA (1920 x 1200), IPS, narrow bezel, anti-glare, 300 nits, 45% NTSC",,,5MP IR,,Windows 11 Home Single Language,3 Cell - 56Wh,,,,,,,,HP,Máy tính xách tay,"Intel Core Ultra 7 165U, P-core 1.7GHz up to 4.9GHz, E-core 1.2GHz up to 3.8GHz, 12MB","16GB DDR5 5600Mhz (1x16GB), 2 khe cắm ram",Intel Graphics,,,5.3,,,"2 x Thunderbolt 4 with USB Type-C 40Gbps signaling rate (USB Power Delivery, DisplayPort 1.4); 2 x USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1 x HDMI 2.1; 1 x stereo headphone/microphone combo jack; 1 x RJ-45",Intel Wi-Fi 6E AX211 (2x2),,31.86cm x 22.44cm x 1.09cm (front); 31.86cm x 22.43cm x 1.7cm (rear) (WxDxH),1.39 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP EliteBook 640 G10 873H3PA Bạc,15.990.000đ,,,873H3PA,,,,512GB PCIe® NVMe™ M.2 SSD,,,"14 inch FHD (1920 x 1080), touch, IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",,,,,Windows 11 Home,3 cell,,,,,,,,HP,Máy tính xách tay,"Intel Core i7-1355U (up to 5.0GHz, 12MB)",16GB (1 x 16GB) DDR4-3200MHz (2 khe),Intel Iris Xe Graphics có điều kiện khi sử dụng Dual RAM,720p HD camera,,,,Bạc,"1 x Thunderbolt™ 4 with USB4™ Type-C® 40 Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4)
1 x SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Deliver
2 x SuperSpeed USB Type-A 5Gbps signaling rate port (USB 3.2 Gen 1)
1 x HDMI 2.1 Port (Cable not included)
1 x Ethernet Port (RJ-45)
1 x Audio Combo Jack
1 x Power Connector
1 x Nano Security Lock Slot (Lock sold separately)",,,32.19 x 21.39 x 1.99 cm,"1,41 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
