Tên sản phẩm,Giá bán,Thương hiệu,Bảo hành,Mô tả bảo hành,CPU,NPU,Chip đồ họa,Màn hình,Webcam,Ram,Lưu trữ,Cổng kết nối,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Bảo mật,Đèn LED trên máy,Trong hộp có gì,Series model,Tên,Part-number,Màu sắc,Nhu cầu,Âm thanh,Chất liệu,Dung lượng RAM,Dung lượng SSD,"Kích thước, khối lượng",Công suất pin,Cổng HDMI,Tính năng đặc biệt
Laptop Msi Titan 18 HX AI A2XWJG-035VN,179.990.000₫,Msi,36 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 9-285HX ( 2.8 GHz - 5.5 GHz / 36MB / 24 nhân, 24 luồng ), Intel AI",Intel® AI Boost 13 TOPS,"GeForce RTX™ 5090 24GB GDDR7 Intel® Arc™ Graphics ( 2160MHz , 175W , 1824 AI TOPS )","18"" ( 3840 x 2400 ) Ultra HD (4K) 16:10 , Mini LED IPS , 120Hz , không cảm ứng , 100% DCI-P3",FHD webcam,2 x 48GB DDR5 6400MHz ( 2 Khe cắm / Hỗ trợ tối đa 96GB ),6TB SSD M.2 NVMe ( 4 x M.2 NVMe ),"3 x USB 3.2
2 x Thunderbolt 5
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","Wi-Fi 7 (802.11be) , Bluetooth 5.4","Bàn phím gaming RGB Per-Key của SteelSeries , có phím số , RGB",Windows 11 Home,404 x 307.5 x 24-32.05 mm,"4 cell 99 Wh , Pin liền",3.6 kg,Khuôn mặt,không đèn,"Ba lô, Chuột, USB 256GB; Móc khóa, Adapter, dây nguồn,…",MSI Titan,Titan 18 HX AI A2XWJG-035VN,035VN,Đen,Gaming,,,,,,,,
Laptop Msi Titan 18 HX AI A2XWIG-090VN,149.990.000₫,Msi,36 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 9-285HX ( 2.8 GHz - 5.5 GHz / 36MB / 24 nhân, 24 luồng ), Intel AI",Intel® AI Boost 13 TOPS,GeForce RTX™ 5080,"18"" ( 3840 x 1800 ) Ultra HD (4K) 16:10 , 120Hz , không cảm ứng , 100% DCI-P3",FHD webcam,2 x 32GB GDDR5 6400MHz ( 2 Khe cắm / Hỗ trợ tối đa 96GB ),6TB SSD M.2 NVMe ( 4 x M.2 NVMe ),"3 x USB 3.2
2 x Thunderbolt 5
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","Wi-Fi 7 (802.11be) , Bluetooth 5.4","Bàn phím gaming RGB Per-Key của SteelSeries , có phím số , RGB",Windows 11 Home,404 x 307.5 x 24-32.05 mm,"4 cell 99 Wh , Pin liền",3.6 kg,Khuôn mặt,không đèn,"Ba lô, Chuột, USB 256GB; Móc khóa, Adapter, dây nguồn,…",MSI Titan,Titan 18 HX AI A2XWIG-090VN,090VN,Đen,Gaming,"Hi-Res Audio™, DynAudio™",,,,,,,
Laptop Acer Nitro V 15 ProPanel ANV15-51-56D5,22.990.000₫,Acer,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13420H ( 2.1 GHz - 4.6 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 180Hz , không cảm ứng , 300 nits , 100% sRGB , Acer ComfyView",HD webcam,1 x 16GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 96GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",Windows 11 Home SL,362.3 x 239.89 x 22.9/26.9 mm,"4 cell 57 Wh , Pin liền",2.1 kg,,không đèn,,Acer Nitro,Nitro V 15 ProPanel ANV15-51-56D5,NH.QN9SV.00B,Đen,Gaming,Acer Purified Voice; Acer TrueHarmony,Vỏ nhựa ABS,,,,,,
Laptop Acer Nitro Lite 16 NL16-71G-56WQ,21.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13420H ( 2.1 GHz - 4.6 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® UHD Graphics,"16"" ( 1920 x 1200 ) WUXGA IPS , 165Hz , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa , Acer ComfyView",FHD webcam,16GB (8GB + 8GB Onboard) DDR5 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 56GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","Bàn phím Chiclet với phím Copilot , có phím số , LED",Windows 11 Home SL,362.2 x 248.47 x 22.9 mm,"3 cell 53 Wh , Pin liền",1.9 kg,,không đèn,,Acer Nitro,Nitro Lite 16 NL16-71G-56WQ,NH.D59SV.001,Trắng,Gaming,,Vỏ nhựa,,,,,,
Laptop Acer Aspire 7 A715-59G-57TU,20.490.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12450H ( 2.0 GHz - 4.4GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa , Acer ComfyView",HD webcam,1 x 16GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C
1 x USB 3.2
1 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI
1 x mini DisplayPort","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím Chiclet với phím Copilot , có phím số , LED",Windows 11 Home SL,359.5 x 238 x 22.7 mm,"4 cell 54 Wh , Pin liền",2 kg,,không đèn,,Acer Aspire,Aspire 7 A715-59G-57TU,NH.QX6SV.001,Đen,Gaming,,"Vỏ nhựa, nắp lưng kim loại",,,,,,
Laptop Acer Nitro V 16 ProPanel ANV16-41-R6ZY,22.790.000₫,Acer,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 8645HS ( 4.3 GHz - 5.0 GHz / 16MB / 6 nhân, 12 luồng ), AMD AI",AMD Ryzen™ AI up to 31 TOPs,GeForce RTX™ 3050 6GB GDDR6 AMD Radeon 760M,"16"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , 165Hz , không cảm ứng , 300 nits , 100% sRGB , Acer ComfyView",HD webcam,1 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 96GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Có phím Copilot , có phím số , LED",Windows 11 Home SL,361.8 x 278.4 x 24.74/25.46 mm,"4 cell 57 Wh , Pin liền",2.5 kg,,không đèn,"Adapter, dây nguồn, HDSD,…",Acer Nitro,Nitro V 16 ProPanel ANV16-41-R6ZY,NH.QP2SV.002,Đen,Gaming,,Vỏ nhựa,,,,,,
Laptop Msi Vector 16 HX AI A2XWIG-062VN,74.990.000₫,Msi,36 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 9-275HX ( 4.6 GHz - 5.4 GHz / 36MB / 24 nhân, 24 luồng ), Intel AI",Intel® AI Boost 13 TOPS,GeForce RTX™ 5080,"16"" ( 2560 x 1600 ) WQXGA 16:10 , 240Hz , không cảm ứng , 100% DCI-P3",HD webcam,2 x 8GB DDR5 6400MHz ( 2 Khe cắm / Hỗ trợ tối đa 96GB ),1TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","24-Zone RGB Gaming Keyboard , có phím số , RGB",Windows 11 Home,357 x 284 x 22.20-28.55 mm,"4 cell 90 Wh , Pin liền",2.7 kg,,không đèn,"Ba lô, Adapter, dây nguồn,…",MSI Vector,Vector 16 HX AI A2XWIG-062VN,062VN,Xám,Gaming,"Hi-Res Audio™, DynAudio™",,,,,,,
Laptop Acer Swift 14 AI SF14-51-53P9,34.090.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 5-226V ( 3.5 GHz - 4.5 GHz / 8MB / 8 nhân, 8 luồng ), Intel AI",Intel® AI Boost 40 TOPS,Onboard graphics Intel® Arc™ Graphics 130V,"14"" ( 2880 x 1800 ) 2.8K OLED , 90Hz , không cảm ứng , 400 nits , 100% DCI-P3",QHD webcam,16GB Onboard LPDDR5x 8533MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI","Wi-Fi 7 (802.11be) , Bluetooth 5.4","Có phím Copilot , không phím số , LED",Windows 11 Home SL,312.4 x 221.2 x 9.7/15.95 mm,"3 cell 65 Wh , Pin liền",1.2 kg,Vân tay,không đèn,,Acer Swift,Swift 14 AI SF14-51-53P9,NX.J2KSV.002,Xanh,Văn phòng,Acer TrueHarmony Technology,Vỏ nhôm,,,,,,
Laptop Msi Stealth A16 AI+ A3XVGG - 208VN,68.890.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ AI 9 HX 370 ( 5.1 GHz / 24MB / 12 nhân, 24 luồng ), Copilot+ PC",AMD XDNA™ lên đến 50TOPs,"GeForce RTX™ 4070 8GB GDDR6 AMD Radeon™ 890M ( 1980MHz , 105W , 321 AI TOPs )","16"" ( 3840 x 2400 ) WQUXGA 16:10 , 120Hz , không cảm ứng , 100% DCI-P3",FHD webcam,32GB Onboard LPDDR5x 7500MHz ( 2 Khe cắm / Không nâng cấp được ),2TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 2500 Mbps","Wi-Fi 7 (802.11be) , Bluetooth 5.4","Bàn phím gaming RGB Per-Key của SteelSeries với phím Copilot , có phím số , RGB",Windows 11 Home,355.8 x 259.7 x 19.95 mm,"4 cell 99 Wh , Pin liền",2.1 kg,Vân tay,không đèn,"240W Adapter, Stealth Agent Backpack, MSI Gaming Mouse M99 Pro",MSI Stealth,Stealth A16 AI+ A3XVGG - 208VN,208VN,Đen,Gaming,,,,,,,,
Laptop Asus Zenbook S 14 UX5406SA-PV140WS,42.390.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-258V ( 2.2 GHz - 4.8 GHz / 12MB / 8 nhân, 8 luồng ), Copilot+ PC",Intel® AI Boost 47 TOPS (Total up to 120 TOPs),Onboard graphics Intel® Arc™ Graphics,"14"" ( 2880 x 1800 ) 2.8K 16:10 , OLED , 120Hz , không cảm ứng , 500 nits , 100% DCI-P3 , Màn hình gương",FHD webcam,1 x 32GB LPDDR5x 8533MHz ( 1 Khe cắm / Hỗ trợ tối đa 32GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI","Wi-Fi 7 BE , Bluetooth 5.4","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home + Office Home & Student 2021 + Microsoft 365 Basic,31.03 x 21.47 x (1.19 ~ 1.29) cm,"4 cell 72 Wh , Pin liền",1.2 kg,"Khuôn mặt - - Trusted Platform Module (Firmware TPM)
- Bộ vi xử lý bảo mật Microsoft Pluton
- IR webcam có hỗ trợ Windows Hello",không đèn,,ASUS Zenbook,Zenbook S 14 UX5406SA-PV140WS,90NB14F2-M006L0,Trắng,Văn phòng,Smart Amp Technology,,,,,,,
